"","author","title","words","kind","total","appearance"
"1","Eliot, George","Middlemarch","Abraham","person",4,1
"2","Eliot, George","Middlemarch","Adam Smith","person",0.5,2
"3","Eliot, George","Middlemarch","Adolf Naumann","person",2,2
"4","Eliot, George","Middlemarch","Africa","location",-1,1
"5","Eliot, George","Middlemarch","Alban Mountains","location",6,1
"6","Eliot, George","Middlemarch","Alexander","person",4,1
"7","Eliot, George","Middlemarch","Alfred","person",0.8,10
"8","Eliot, George","Middlemarch","America","location",-0.25,4
"9","Eliot, George","Middlemarch","Amy","person",3,3
"10","Eliot, George","Middlemarch","Anne","person",2.75652173913043,115
"11","Eliot, George","Middlemarch","Aphis Brassicae","person",4,1
"12","Eliot, George","Middlemarch","Aquinas","person",9.71428571428571,7
"13","Eliot, George","Middlemarch","Archie Duncan","person",0,1
"14","Eliot, George","Middlemarch","Ariel","location",2,1
"15","Eliot, George","Middlemarch","Aristotle","person",4,1
"16","Eliot, George","Middlemarch","Arthur","person",1.33333333333333,6
"17","Eliot, George","Middlemarch","Arthur Brooke","person",2.32300884955752,226
"18","Eliot, George","Middlemarch","Asia","location",4,1
"19","Eliot, George","Middlemarch","Aunt Julia","person",4.16666666666667,6
"20","Eliot, George","Middlemarch","Bailey","person",2,1
"21","Eliot, George","Middlemarch","Baltic","location",1,2
"22","Eliot, George","Middlemarch","Banks","person",9,1
"23","Eliot, George","Middlemarch","Beatrice","person",4,1
"24","Eliot, George","Middlemarch","Bilkley","location",-0.75,4
"25","Eliot, George","Middlemarch","Bill","person",2.69230769230769,65
"26","Eliot, George","Middlemarch","Bob","person",0,2
"27","Eliot, George","Middlemarch","Borthrop Trumbull","person",4.38461538461539,13
"28","Eliot, George","Middlemarch","Boston","location",12,1
"29","Eliot, George","Middlemarch","Botany Bay","location",3,1
"30","Eliot, George","Middlemarch","Brassing","location",2.11111111111111,18
"31","Eliot, George","Middlemarch","Brenda Troilshe","person",0,1
"32","Eliot, George","Middlemarch","Britain","location",8,2
"33","Eliot, George","Middlemarch","Bunch","person",0.5,4
"34","Eliot, George","Middlemarch","Bunyan","location",0,2
"35","Eliot, George","Middlemarch","Burke","person",-3.66666666666667,6
"36","Eliot, George","Middlemarch","Butler","person",3.375,8
"37","Eliot, George","Middlemarch","Byron","person",-1,1
"38","Eliot, George","Middlemarch","Caleb Garth","person",1.06382978723404,141
"39","Eliot, George","Middlemarch","Calvin","person",5,1
"40","Eliot, George","Middlemarch","Cambridge","location",24,1
"41","Eliot, George","Middlemarch","Captain Lydgate","person",5.44444444444444,9
"42","Eliot, George","Middlemarch","Carter","person",2.33333333333333,3
"43","Eliot, George","Middlemarch","castle","person",10.6666666666667,3
"44","Eliot, George","Middlemarch","Catherine","person",15,1
"45","Eliot, George","Middlemarch","Celia Brooke","person",1.75242718446602,206
"46","Eliot, George","Middlemarch","Ceres","location",6,1
"47","Eliot, George","Middlemarch","Chad","location",0,1
"48","Eliot, George","Middlemarch","Chad","person",0,1
"49","Eliot, George","Middlemarch","Charles","person",3.66666666666667,3
"50","Eliot, George","Middlemarch","Charles James Fox","person",10,1
"51","Eliot, George","Middlemarch","China","location",9,2
"52","Eliot, George","Middlemarch","Christy","person",3.33333333333333,9
"53","Eliot, George","Middlemarch","Clarence","person",16,1
"54","Eliot, George","Middlemarch","Cleveland","location",0,1
