"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"1","Gaskell, Elizabeth Cleghorn","Mary Barton",2,NA,NA,0,1,0,1,0,0,0,0,1,0,0
"2","Gaskell, Elizabeth Cleghorn","Mary Barton",6,"John Barton","person",0,0,3,0,0,3,0,0,0,0,-3
"3","Gaskell, Elizabeth Cleghorn","Mary Barton",6,"Barton","person",0,0,3,0,0,3,0,0,0,0,-3
"4","Gaskell, Elizabeth Cleghorn","Mary Barton",6,"John","person",0,0,3,0,0,3,0,0,0,0,-3
"5","Gaskell, Elizabeth Cleghorn","Mary Barton",10,"Jem Wilson","person",0,8,0,0,4,0,4,0,4,4,4
"6","Gaskell, Elizabeth Cleghorn","Mary Barton",10,"Wilson","person",0,8,0,0,4,0,4,0,4,4,4
"7","Gaskell, Elizabeth Cleghorn","Mary Barton",10,"Jem","person",0,8,0,0,4,0,4,0,4,4,4
"8","Gaskell, Elizabeth Cleghorn","Mary Barton",10,"Jem","location",0,8,0,0,4,0,4,0,4,4,4
"9","Gaskell, Elizabeth Cleghorn","Mary Barton",12,"Death","location",2,1,2,2,0,2,0,2,1,0,-2
"10","Gaskell, Elizabeth Cleghorn","Mary Barton",16,"Margaret","person",0,2,0,0,0,0,2,0,0,0,2
"11","Gaskell, Elizabeth Cleghorn","Mary Barton",16,"Margaret","location",0,2,0,0,0,0,2,0,0,0,2
"12","Gaskell, Elizabeth Cleghorn","Mary Barton",20,"Gal","person",0,0,0,0,0,1,1,0,0,0,0
"13","Gaskell, Elizabeth Cleghorn","Mary Barton",30,"Lent","person",1,0,1,1,0,1,0,0,1,0,-1
"14","Gaskell, Elizabeth Cleghorn","Mary Barton",34,"Barton","person",0,1,0,0,0,0,1,0,0,1,1
"15","Gaskell, Elizabeth Cleghorn","Mary Barton",36,NA,NA,1,0,1,1,0,1,0,1,1,0,-1
"16","Gaskell, Elizabeth Cleghorn","Mary Barton",38,"Jem Wilson","person",0,0,0,4,0,4,0,0,0,0,-4
"17","Gaskell, Elizabeth Cleghorn","Mary Barton",38,"Wilson","person",0,0,0,4,0,4,0,0,0,0,-4
"18","Gaskell, Elizabeth Cleghorn","Mary Barton",38,"Jem","person",0,0,0,4,0,4,0,0,0,0,-4
"19","Gaskell, Elizabeth Cleghorn","Mary Barton",38,"Jem","location",0,0,0,4,0,4,0,0,0,0,-4
"20","Gaskell, Elizabeth Cleghorn","Mary Barton",42,"Esther","person",0,0,0,0,0,0,5,0,0,0,5
"21","Gaskell, Elizabeth Cleghorn","Mary Barton",42,"Mary","person",0,0,0,0,0,0,5,0,0,0,5
"22","Gaskell, Elizabeth Cleghorn","Mary Barton",42,"Esther","location",0,0,0,0,0,0,5,0,0,0,5
"23","Gaskell, Elizabeth Cleghorn","Mary Barton",42,"Mary","location",0,0,0,0,0,0,5,0,0,0,5
"24","Gaskell, Elizabeth Cleghorn","Mary Barton",42,"King","person",0,0,0,0,0,0,5,0,0,0,5
"25","Gaskell, Elizabeth Cleghorn","Mary Barton",44,"Mary","person",0,0,0,0,0,0,2,0,0,0,2
"26","Gaskell, Elizabeth Cleghorn","Mary Barton",44,"Mary","location",0,0,0,0,0,0,2,0,0,0,2
"27","Gaskell, Elizabeth Cleghorn","Mary Barton",46,NA,NA,0,0,0,0,0,1,0,0,0,0,-1
"28","Gaskell, Elizabeth Cleghorn","Mary Barton",48,NA,NA,1,0,1,1,0,1,0,1,0,0,-1
"29","Gaskell, Elizabeth Cleghorn","Mary Barton",50,"Mrs Wilson","person",0,0,0,0,0,0,2,0,0,2,2
"30","Gaskell, Elizabeth Cleghorn","Mary Barton",50,"Wilson","person",0,0,0,0,0,0,2,0,0,2,2
"31","Gaskell, Elizabeth Cleghorn","Mary Barton",52,"Liverpool","location",0,1,0,1,1,0,1,0,0,0,1
"32","Gaskell, Elizabeth Cleghorn","Mary Barton",56,"John Cropper","person",0,0,2,0,0,2,0,0,0,0,-2
"33","Gaskell, Elizabeth Cleghorn","Mary Barton",56,"John","person",0,0,2,0,0,2,0,0,0,0,-2
"34","Gaskell, Elizabeth Cleghorn","Mary Barton",58,"Jem","person",0,0,0,0,3,0,3,0,0,3,3
"35","Gaskell, Elizabeth Cleghorn","Mary Barton",58,"Bill","person",0,0,0,0,3,0,3,0,0,3,3
"36","Gaskell, Elizabeth Cleghorn","Mary Barton",58,"Jem","location",0,0,0,0,3,0,3,0,0,3,3
"37","Gaskell, Elizabeth Cleghorn","Mary Barton",60,"Job Legh","person",0,0,0,0,0,3,3,0,0,0,0
"38","Gaskell, Elizabeth Cleghorn","Mary Barton",60,"Job","person",0,0,0,0,0,3,3,0,0,0,0
"39","Gaskell, Elizabeth Cleghorn","Mary Barton",60,"Job","location",0,0,0,0,0,3,3,0,0,0,0
"40","Gaskell, Elizabeth Cleghorn","Mary Barton",64,NA,NA,1,0,0,0,0,1,0,1,0,0,-1
"41","Gaskell, Elizabeth Cleghorn","Mary Barton",70,NA,NA,0,0,0,0,0,0,1,0,0,0,1
"42","Gaskell, Elizabeth Cleghorn","Mary Barton",74,NA,NA,1,0,1,1,0,1,0,1,1,0,-1
"43","Gaskell, Elizabeth Cleghorn","Mary Barton",78,NA,NA,0,1,0,1,0,0,0,0,1,0,0
"44","Gaskell, Elizabeth Cleghorn","Mary Barton",80,"Mary","person",0,0,0,0,7,0,7,0,0,0,7
"45","Gaskell, Elizabeth Cleghorn","Mary Barton",80,"Jane","person",0,0,0,0,7,0,7,0,0,0,7
"46","Gaskell, Elizabeth Cleghorn","Mary Barton",80,"Fields","person",0,0,0,0,7,0,7,0,0,0,7
"47","Gaskell, Elizabeth Cleghorn","Mary Barton",80,"Richard","person",0,0,0,0,7,0,7,0,0,0,7
"48","Gaskell, Elizabeth Cleghorn","Mary Barton",80,"Mary","location",0,0,0,0,7,0,7,0,0,0,7
