"","author","title","sentence_nr","words","kind","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","sentiment"
"1","Eliot, George","Middlemarch",1,"Boston","location",0,0,0,0,6,0,12,0,0,6,12
"2","Eliot, George","Middlemarch",1,"Henry","person",0,0,0,0,6,0,12,0,0,6,12
"3","Eliot, George","Middlemarch",1,"George","person",0,0,0,0,6,0,12,0,0,6,12
"4","Eliot, George","Middlemarch",1,"Middlemarch","location",0,0,0,0,6,0,12,0,0,6,12
"5","Eliot, George","Middlemarch",1,"York","location",0,0,0,0,6,0,12,0,0,6,12
"6","Eliot, George","Middlemarch",1,"New York","location",0,0,0,0,6,0,12,0,0,6,12
"7","Eliot, George","Middlemarch",26,NA,NA,1,1,1,1,0,1,0,1,1,0,-1
"8","Eliot, George","Middlemarch",38,NA,NA,0,0,0,0,1,0,1,0,0,0,1
"9","Eliot, George","Middlemarch",60,NA,NA,0,0,0,0,0,0,0,1,0,0,0
"10","Eliot, George","Middlemarch",83,NA,NA,0,1,0,0,0,0,1,0,0,0,1
"11","Eliot, George","Middlemarch",101,"Saint Theresa","person",0,8,0,4,2,2,6,2,4,4,4
"12","Eliot, George","Middlemarch",101,"Marty","person",0,8,0,4,2,2,6,2,4,4,4
"13","Eliot, George","Middlemarch",102,"Todd","person",1,0,0,1,0,2,1,1,0,0,-1
"14","Eliot, George","Middlemarch",104,NA,NA,0,2,0,0,2,1,5,1,0,2,4
"15","Eliot, George","Middlemarch",105,NA,NA,0,0,0,0,1,0,2,0,0,1,2
"16","Eliot, George","Middlemarch",107,"Anne","person",2,2,2,4,4,6,14,2,0,6,8
"17","Eliot, George","Middlemarch",107,"San","location",2,2,2,4,4,6,14,2,0,6,8
"18","Eliot, George","Middlemarch",108,NA,NA,0,1,0,0,1,2,6,0,0,4,4
"19","Eliot, George","Middlemarch",109,NA,NA,1,1,0,0,1,4,2,1,0,1,-2
"20","Eliot, George","Middlemarch",110,NA,NA,1,0,1,0,0,2,5,1,0,3,3
"21","Eliot, George","Middlemarch",111,"Rose","person",0,0,1,1,1,1,2,0,0,2,1
"22","Eliot, George","Middlemarch",112,NA,NA,0,0,0,0,0,0,1,0,0,0,1
"23","Eliot, George","Middlemarch",113,"Saint Theresa","person",0,2,0,0,3,0,3,0,2,4,3
"24","Eliot, George","Middlemarch",115,NA,NA,0,0,0,0,0,0,0,0,0,1,0
"25","Eliot, George","Middlemarch",116,NA,NA,0,0,0,1,0,1,0,1,0,0,-1
"26","Eliot, George","Middlemarch",117,"Miss Brooke","person",0,0,0,0,1,0,2,0,0,0,2
"27","Eliot, George","Middlemarch",118,"Leo","person",0,1,0,0,2,1,5,0,0,4,4
"28","Eliot, George","Middlemarch",119,"Celia Brooke","person",0,0,0,0,0,0,4,0,0,0,4
"29","Eliot, George","Middlemarch",119,"Mark","person",0,0,0,0,0,0,4,0,0,0,4
"30","Eliot, George","Middlemarch",120,"Celia Brooke","person",0,0,0,0,0,2,0,2,0,0,-2
"31","Eliot, George","Middlemarch",120,"Miss Brooke","person",0,0,0,0,0,2,0,2,0,0,-2
"32","Eliot, George","Middlemarch",121,"Ladies","person",0,0,0,0,2,4,12,2,0,8,8
"33","Eliot, George","Middlemarch",121,"San","location",0,0,0,0,2,4,12,2,0,8,8
"34","Eliot, George","Middlemarch",122,NA,NA,0,3,1,1,4,0,5,1,1,4,5
"35","Eliot, George","Middlemarch",123,NA,NA,0,0,0,0,0,2,0,1,0,1,-2
"36","Eliot, George","Middlemarch",124,"Celia Brooke","person",4,2,2,2,2,4,4,2,2,6,0
"37","Eliot, George","Middlemarch",124,"Miss Brooke","person",4,2,2,2,2,4,4,2,2,6,0
"38","Eliot, George","Middlemarch",125,"Jeremy Taylor","person",0,0,0,0,0,0,3,0,0,0,3
"39","Eliot, George","Middlemarch",125,"Dorothea Brooke","person",0,0,0,0,0,0,3,0,0,0,3
"40","Eliot, George","Middlemarch",125,"Taylor","person",0,0,0,0,0,0,3,0,0,0,3
"41","Eliot, George","Middlemarch",127,"Paris","location",0,2,2,6,2,10,4,4,2,6,-6
"42","Eliot, George","Middlemarch",127,"Marty","person",0,2,2,6,2,10,4,4,2,6,-6
"43","Eliot, George","Middlemarch",129,"Lausanne","location",0,3,0,0,3,6,12,3,0,9,6
"44","Eliot, George","Middlemarch",129,"Anne","person",0,3,0,0,3,6,12,3,0,9,6
"45","Eliot, George","Middlemarch",129,"San","location",0,3,0,0,3,6,12,3,0,9,6
"46","Eliot, George","Middlemarch",130,"Earl","person",4,2,2,2,2,4,2,2,4,2,-2
"47","Eliot, George","Middlemarch",130,"Lane","person",4,2,2,2,2,4,2,2,4,2,-2
"48","Eliot, George","Middlemarch",131,"Elle","person",0,0,0,0,0,2,0,0,0,1,-2
"49","Eliot, George","Middlemarch",132,"Arthur Brooke","person",1,2,0,1,2,0,2,0,1,2,2
"50","Eliot, George","Middlemarch",133,NA,NA,1,1,1,0,0,3,2,1,0,1,-1
"51","Eliot, George","Middlemarch",134,"Arthur Brooke","person",3,6,0,0,6,3,9,0,3,6,6
"52","Eliot, George","Middlemarch",134,"Dorothea Brooke","person",3,6,0,0,6,3,9,0,3,6,6
"53","Eliot, George","Middlemarch",134,"Earl","person",3,6,0,0,6,3,9,0,3,6,6
"54","Eliot, George","Middlemarch",135,"Arthur Brooke","person",0,0,0,0,15,5,35,5,0,15,30
"55","Eliot, George","Middlemarch",135,"Dorothea Brooke","person",0,0,0,0,15,5,35,5,0,15,30
"56","Eliot, George","Middlemarch",135,"Mab","person",0,0,0,0,15,5,35,5,0,15,30
"57","Eliot, George","Middlemarch",135,"Pluto","person",0,0,0,0,15,5,35,5,0,15,30
"58","Eliot, George","Middlemarch",135,"San","location",0,0,0,0,15,5,35,5,0,15,30
"59","Eliot, George","Middlemarch",138,"Latin","location",0,0,0,2,2,2,6,0,0,0,4
"60","Eliot, George","Middlemarch",138,"Latin","person",0,0,0,2,2,2,6,0,0,0,4
"61","Eliot, George","Middlemarch",139,NA,NA,0,3,1,1,2,2,2,2,2,3,0
"62","Eliot, George","Middlemarch",140,NA,NA,0,1,0,0,1,2,2,1,0,2,0
"63","Eliot, George","Middlemarch",141,NA,NA,0,1,0,0,0,0,1,0,0,1,1
"64","Eliot, George","Middlemarch",142,"San","location",0,0,0,1,0,1,0,0,0,0,-1
"65","Eliot, George","Middlemarch",143,"Celia Brooke","person",0,0,0,0,0,0,6,0,0,3,6
"66","Eliot, George","Middlemarch",143,"Miss Brooke","person",0,0,0,0,0,0,6,0,0,3,6
"67","Eliot, George","Middlemarch",143,"Ladies","person",0,0,0,0,0,0,6,0,0,3,6
"68","Eliot, George","Middlemarch",145,"Celia Brooke","person",0,0,0,0,0,0,1,0,0,0,1
"69","Eliot, George","Middlemarch",146,"Dorothea Brooke","person",0,0,1,2,1,3,2,0,1,1,-1
"70","Eliot, George","Middlemarch",149,"Joy","person",1,0,0,0,1,1,3,0,0,1,2
"71","Eliot, George","Middlemarch",150,"Celia Brooke","person",0,6,0,0,9,0,21,0,0,12,21
"72","Eliot, George","Middlemarch",150,"Arthur Brooke","person",0,6,0,0,9,0,21,0,0,12,21
"73","Eliot, George","Middlemarch",150,"Sir James","person",0,6,0,0,9,0,21,0,0,12,21
"74","Eliot, George","Middlemarch",152,"Dorothea Brooke","person",0,2,0,0,2,0,2,0,0,2,2
"75","Eliot, George","Middlemarch",153,"John Milton","person",0,9,6,0,9,12,21,9,0,12,9
"76","Eliot, George","Middlemarch",153,"Milton","person",0,9,6,0,9,12,21,9,0,12,9
"77","Eliot, George","Middlemarch",153,"Mark","person",0,9,6,0,9,12,21,9,0,12,9
"78","Eliot, George","Middlemarch",154,NA,NA,0,2,0,0,3,0,3,0,1,4,3
"79","Eliot, George","Middlemarch",155,"Arthur Brooke","person",0,0,0,0,2,2,4,0,0,4,2
"80","Eliot, George","Middlemarch",155,"Dorothea Brooke","person",0,0,0,0,2,2,4,0,0,4,2
"81","Eliot, George","Middlemarch",156,"Dorothea Brooke","person",5,0,0,5,0,5,10,5,5,5,5
"82","Eliot, George","Middlemarch",156,"Mrs Cadwallader","person",5,0,0,5,0,5,10,5,5,5,5
"83","Eliot, George","Middlemarch",156,"Objection","person",5,0,0,5,0,5,10,5,5,5,5
"84","Eliot, George","Middlemarch",156,NA,NA,5,0,0,5,0,5,10,5,5,5,5
"85","Eliot, George","Middlemarch",156,"Rector","location",5,0,0,5,0,5,10,5,5,5,5
"86","Eliot, George","Middlemarch",157,"Miss Brooke","person",1,0,1,0,0,1,3,0,0,1,2
"87","Eliot, George","Middlemarch",158,"Dorothea Brooke","person",0,2,0,0,0,0,6,0,0,4,6
"88","Eliot, George","Middlemarch",158,"Sir James","person",0,2,0,0,0,0,6,0,0,4,6
"89","Eliot, George","Middlemarch",159,"Mr Casaubon","person",0,3,0,0,9,0,18,0,0,9,18
"90","Eliot, George","Middlemarch",159,NA,NA,0,3,0,0,9,0,18,0,0,9,18
"91","Eliot, George","Middlemarch",159,"Earl","person",0,3,0,0,9,0,18,0,0,9,18
"92","Eliot, George","Middlemarch",160,NA,NA,0,0,0,0,1,0,3,0,0,1,3
"93","Eliot, George","Middlemarch",161,"Celia Brooke","person",0,12,0,3,9,0,15,0,6,9,15
"94","Eliot, George","Middlemarch",161,"Dorothea Brooke","person",0,12,0,3,9,0,15,0,6,9,15
"95","Eliot, George","Middlemarch",161,"Earl","person",0,12,0,3,9,0,15,0,6,9,15
"96","Eliot, George","Middlemarch",163,"Celia Brooke","person",0,4,0,2,0,2,4,0,2,0,2
"97","Eliot, George","Middlemarch",163,"Dorothea Brooke","person",0,4,0,2,0,2,4,0,2,0,2
"98","Eliot, George","Middlemarch",164,"Dorothea Brooke","person",0,1,0,0,1,0,2,0,1,0,2
"99","Eliot, George","Middlemarch",165,"Celia Brooke","person",0,0,0,0,1,0,1,0,1,1,1
"100","Eliot, George","Middlemarch",168,NA,NA,0,0,0,1,0,1,0,1,0,0,-1
"101","Eliot, George","Middlemarch",169,NA,NA,0,0,0,0,0,0,1,0,0,1,1
"102","Eliot, George","Middlemarch",170,NA,NA,0,0,0,0,0,1,1,0,0,1,0
"103","Eliot, George","Middlemarch",171,"Dorothea Brooke","person",0,0,0,0,0,1,0,0,0,0,-1
"104","Eliot, George","Middlemarch",172,NA,NA,0,0,0,0,0,1,0,1,0,0,-1
"105","Eliot, George","Middlemarch",173,"Celia Brooke","person",0,0,0,1,0,1,0,1,0,0,-1
"106","Eliot, George","Middlemarch",174,NA,NA,0,1,0,0,1,0,2,0,0,1,2
"107","Eliot, George","Middlemarch",177,"Celia Brooke","person",1,0,0,0,0,1,1,0,0,1,0
"108","Eliot, George","Middlemarch",178,"Dorothea Brooke","person",0,0,0,0,0,1,2,0,0,1,1
"109","Eliot, George","Middlemarch",182,NA,NA,1,0,1,1,0,1,0,1,0,0,-1
"110","Eliot, George","Middlemarch",184,NA,NA,0,1,0,1,1,0,2,0,1,2,2
"111","Eliot, George","Middlemarch",185,NA,NA,0,0,0,1,0,1,0,1,0,0,-1
"112","Eliot, George","Middlemarch",186,"Mark","person",2,0,0,2,6,2,10,2,2,4,8
"113","Eliot, George","Middlemarch",186,"Earl","person",2,0,0,2,6,2,10,2,2,4,8
"114","Eliot, George","Middlemarch",187,"Celia Brooke","person",0,3,0,0,0,3,3,0,0,0,0
"115","Eliot, George","Middlemarch",187,"Dorothea Brooke","person",0,3,0,0,0,3,3,0,0,0,0
"116","Eliot, George","Middlemarch",187,"Maria","person",0,3,0,0,0,3,3,0,0,0,0
"117","Eliot, George","Middlemarch",188,"Celia Brooke","person",0,0,0,0,0,2,0,0,0,2,-2
"118","Eliot, George","Middlemarch",188,"India","location",0,0,0,0,0,2,0,0,0,2,-2
"119","Eliot, George","Middlemarch",189,NA,NA,1,0,0,1,0,2,0,2,0,1,-2
"120","Eliot, George","Middlemarch",190,"Celia Brooke","person",0,0,0,0,1,0,1,0,1,1,1
"121","Eliot, George","Middlemarch",191,NA,NA,1,0,0,1,0,1,0,1,0,0,-1
"122","Eliot, George","Middlemarch",192,"Dorothea Brooke","person",0,0,0,0,0,0,1,0,0,0,1
"123","Eliot, George","Middlemarch",194,NA,NA,0,0,0,0,0,1,0,0,0,1,-1
"124","Eliot, George","Middlemarch",196,NA,NA,1,0,0,1,0,2,0,1,0,1,-2
"125","Eliot, George","Middlemarch",198,"Celia Brooke","person",0,0,0,1,0,2,0,0,0,1,-2
"126","Eliot, George","Middlemarch",199,"Dorothea Brooke","person",0,0,0,0,0,0,1,0,0,0,1
"127","Eliot, George","Middlemarch",203,NA,NA,0,0,0,0,0,0,1,0,0,0,1
"128","Eliot, George","Middlemarch",206,"Celia Brooke","person",1,0,0,1,0,1,0,1,0,0,-1
"129","Eliot, George","Middlemarch",207,NA,NA,1,0,2,1,0,1,2,1,0,0,1
"130","Eliot, George","Middlemarch",208,"Celia Brooke","person",0,0,0,0,0,4,1,0,0,4,-3
"131","Eliot, George","Middlemarch",212,NA,NA,1,0,1,0,0,1,0,1,0,0,-1
