"","author","title","words","kind","total","appearance"
"1","Eliot, George","Adam Bede","Adam Bede","person",1.08977035490605,958
"2","Eliot, George","Adam Bede","Adam Brother","person",6,1
"3","Eliot, George","Adam Bede","Africa","location",3,1
"4","Eliot, George","Adam Bede","Alick","person",1.79166666666667,24
"5","Eliot, George","Adam Bede","Amy","person",2.5,4
"6","Eliot, George","Adam Bede","Anne","person",3.01754385964912,57
"7","Eliot, George","Adam Bede","Annehe","person",-3,1
"8","Eliot, George","Adam Bede","Arthur","person",0.754385964912281,342
"9","Eliot, George","Adam Bede","Arthur Young","person",6,1
"10","Eliot, George","Adam Bede","Ashby","person",5,3
"11","Eliot, George","Adam Bede","Aunt Poyser","person",5.75,4
"12","Eliot, George","Adam Bede","Bailey","person",28,1
"13","Eliot, George","Adam Bede","Baker","person",3.2,5
"14","Eliot, George","Adam Bede","Banks","person",4,1
"15","Eliot, George","Adam Bede","Beale","person",-1,1
"16","Eliot, George","Adam Bede","Beethoven","person",16,1
"17","Eliot, George","Adam Bede","Ben Cranage","person",-4,1
"18","Eliot, George","Adam Bede","Ben Tholoway","person",3,2
"19","Eliot, George","Adam Bede","Bessy","person",3.9047619047619,21
"20","Eliot, George","Adam Bede","Bessy Cranage","person",7,8
"21","Eliot, George","Adam Bede","Bill","person",3.5,16
"22","Eliot, George","Adam Bede","Bill Downes","person",7,2
"23","Eliot, George","Adam Bede","Billy Pitt","person",0,1
"24","Eliot, George","Adam Bede","Billy Taft","person",-3,1
"25","Eliot, George","Adam Bede","Binton Hills","location",-2.33333333333333,3
"26","Eliot, George","Adam Bede","Broxton","location",1.84,25
"27","Eliot, George","Adam Bede","Bugle","person",1,1
"28","Eliot, George","Adam Bede","Bunch","person",0.25,4
"29","Eliot, George","Adam Bede","Bunyan","location",28,1
"30","Eliot, George","Adam Bede","Butler","person",5,12
"31","Eliot, George","Adam Bede","Buxton","location",0,1
"32","Eliot, George","Adam Bede","Calvin","person",2,1
"33","Eliot, George","Adam Bede","Capn","person",3,2
"34","Eliot, George","Adam Bede","Captain Arthur Donnithorne","person",4.01666666666667,60
"35","Eliot, George","Adam Bede","Carroll","person",0.923076923076923,13
"36","Eliot, George","Adam Bede","Ceres","location",3,1
"37","Eliot, George","Adam Bede","Chad","location",5,17
"38","Eliot, George","Adam Bede","Chad","person",5,17
"39","Eliot, George","Adam Bede","Charles","person",54,1
"40","Eliot, George","Adam Bede","Charles Wesleys","person",54,1
"41","Eliot, George","Adam Bede","Charlotte","location",2,1
"42","Eliot, George","Adam Bede","Craig","person",2.37837837837838,37
"43","Eliot, George","Adam Bede","Cranage","person",5.85714285714286,14
"44","Eliot, George","Adam Bede","Daniel","person",2,2
"45","Eliot, George","Adam Bede","Dante","person",2,1
"46","Eliot, George","Adam Bede","Dauphin","person",0.333333333333333,3
"47","Eliot, George","Adam Bede","David","person",2.16666666666667,6
"48","Eliot, George","Adam Bede","Deronda","person",8,1
"49","Eliot, George","Adam Bede","Devil","location",-1.2,10
"50","Eliot, George","Adam Bede","Devils","location",4,1
"51","Eliot, George","Adam Bede","Diana","person",1,1
"52","Eliot, George","Adam Bede","Dinah Morris","person",1.40050377833753,397
"53","Eliot, George","Adam Bede","Dolly","person",5.66666666666667,3
"54","Eliot, George","Adam Bede","Dr Moore","person",2,1
"55","Eliot, George","Adam Bede","Earl","person",4.40229885057471,87
"56","Eliot, George","Adam Bede","earth","location",5.73529411764706,34
"57","Eliot, George","Adam Bede","Easter","person",6.5,6
"58","Eliot, George","Adam Bede","Eden","person",-1,2
"59","Eliot, George","Adam Bede","Egypt","location",2.25,4
"60","Eliot, George","Adam Bede","Elizabeth","person",-4,1
"61","Eliot, George","Adam Bede","Elle","person",4.55555555555556,63
"62","Eliot, George","Adam Bede","Ellen","person",7.5,28
"63","Eliot, George","Adam Bede","England","location",-2.5,2
"64","Eliot, George","Adam Bede","Ephesus","location",3,1
"65","Eliot, George","Adam Bede","Europe","location",-1,1
"66","Eliot, George","Adam Bede","Feyther Taft","person",-0.5,4
"67","Eliot, George","Adam Bede","Firtree Grove","location",-1,4
"68","Eliot, George","Adam Bede","Fox","location",-2,2
"69","Eliot, George","Adam Bede","Frate","location",1,1
"70","Eliot, George","Adam Bede","French","location",-0.9,10
"71","Eliot, George","Adam Bede","Fresh","location",3.93939393939394,33
"72","Eliot, George","Adam Bede","George","person",2.4,5
"73","Eliot, George","Adam Bede","Gil","person",-0.5,4
"74","Eliot, George","Adam Bede","Godwin","person",1,1
"75","Eliot, George","Adam Bede","Grant","person",6.66666666666667,9
"76","Eliot, George","Adam Bede","Guinea","location",0.428571428571429,7
"77","Eliot, George","Adam Bede","Hades","location",2,1
"78","Eliot, George","Adam Bede","Harry","person",-1.4,5
"79","Eliot, George","Adam Bede","Hayslope","location",2.76744186046512,43
"80","Eliot, George","Adam Bede","Hetty Sorrel","person",1.16068376068376,585
"81","Eliot, George","Adam Bede","Hicks","person",4,4
"82","Eliot, George","Adam Bede","Hill","location",0.852941176470588,68
"83","Eliot, George","Adam Bede","Holly Bush","person",10,3
"84","Eliot, George","Adam Bede","Howe","person",3.23728813559322,59
"85","Eliot, George","Adam Bede","India","location",-5,1
"86","Eliot, George","Adam Bede","Ireland","location",0.5,2
"87","Eliot, George","Adam Bede","Irish Channel","location",0,1
"88","Eliot, George","Adam Bede","Isaac","person",0,1
"89","Eliot, George","Adam Bede","Italy","location",-5,1
"90","Eliot, George","Adam Bede","Jack","person",-1.33333333333333,6
"91","Eliot, George","Adam Bede","Jacob","person",0.714285714285714,7
"92","Eliot, George","Adam Bede","Jacob Storey","person",2,1
"93","Eliot, George","Adam Bede","Jacob Taft","person",-4,1
"94","Eliot, George","Adam Bede","Jacobs","person",0,1
"95","Eliot, George","Adam Bede","Jim","person",2.4,10
"96","Eliot, George","Adam Bede","Jim Salt","person",7,1
"97","Eliot, George","Adam Bede","Jim Wakefield","person",0,1
"98","Eliot, George","Adam Bede","John Barnes","person",2,1
"99","Eliot, George","Adam Bede","John Olding","person",-0.357142857142857,14
"100","Eliot, George","Adam Bede","Jonathan","person",5.61111111111111,18
"101","Eliot, George","Adam Bede","Jonathan Burge","person",5.58823529411765,17
"102","Eliot, George","Adam Bede","Joseph","person",8.5,2
"103","Eliot, George","Adam Bede","Josh","person",5.17857142857143,28
"104","Eliot, George","Adam Bede","Josh Tod","person",0,1
"105","Eliot, George","Adam Bede","Joshua Rann","person",5.34615384615385,26
"106","Eliot, George","Adam Bede","Jove","person",1.66666666666667,3
"107","Eliot, George","Adam Bede","Joy","person",3.11392405063291,79
"108","Eliot, George","Adam Bede","Julius Caesar","person",-4,1
"109","Eliot, George","Adam Bede","Jupiter","location",3,1
"110","Eliot, George","Adam Bede","Kate","location",0,4
"111","Eliot, George","Adam Bede","Kate","person",0,4
"112","Eliot, George","Adam Bede","Kens","person",3.75,8
"113","Eliot, George","Adam Bede","Kitty","person",1,1
"114","Eliot, George","Adam Bede","Ladies","person",3.35714285714286,14
"115","Eliot, George","Adam Bede","Lane","person",3.22222222222222,18
"116","Eliot, George","Adam Bede","Latin","location",-2.5,10
"117","Eliot, George","Adam Bede","Latin","person",-2.5,10
"118","Eliot, George","Adam Bede","Leeds","location",3.44444444444444,9
"119","Eliot, George","Adam Bede","Leo","person",6.5,2
"120","Eliot, George","Adam Bede","Lisa","person",8,1
"121","Eliot, George","Adam Bede","Lisbeth Bede","person",1.58878504672897,107
"122","Eliot, George","Adam Bede","Liverpool","location",2,2
"123","Eliot, George","Adam Bede","Loamford","location",0,1
"124","Eliot, George","Adam Bede","London","location",3,3
"125","Eliot, George","Adam Bede","Lord","person",3.20689655172414,58
"126","Eliot, George","Adam Bede","Lord Dacey","person",3,2
"127","Eliot, George","Adam Bede","Lords","location",2.25,4
"128","Eliot, George","Adam Bede","Luke","person",2,9
"129","Eliot, George","Adam Bede","Lyddy","location",2.5,4
"130","Eliot, George","Adam Bede","Lyddy","person",2.5,4
"131","Eliot, George","Adam Bede","Lydia Donnithorne","person",3.69565217391304,23
"132","Eliot, George","Adam Bede","Mab","person",7,3
"133","Eliot, George","Adam Bede","Macedonia","location",-1,1
"134","Eliot, George","Adam Bede","Madonna","person",2,2
"135","Eliot, George","Adam Bede","Mark","person",3.2258064516129,62
"136","Eliot, George","Adam Bede","Marlowe","person",0.5,2
"137","Eliot, George","Adam Bede","Martha","person",10,1
"138","Eliot, George","Adam Bede","Martin","person",3.91379310344828,58
"139","Eliot, George","Adam Bede","Marty","person",2.3125,16
"140","Eliot, George","Adam Bede","Mary Burge","person",7.45454545454545,22
"141","Eliot, George","Adam Bede","Matthias Bede","person",1.77777777777778,9
"142","Eliot, George","Adam Bede","Merry","person",3.81818181818182,11
"143","Eliot, George","Adam Bede","Merry Mowers","person",6,1
"144","Eliot, George","Adam Bede","Mester Taft","person",-6,1
"145","Eliot, George","Adam Bede","Michael Holdsworth","person",10,1
"146","Eliot, George","Adam Bede","Michaelmas","location",2.33333333333333,9
"147","Eliot, George","Adam Bede","Middlemarch","location",8,1
"148","Eliot, George","Adam Bede","Mike","person",-2,3
"149","Eliot, George","Adam Bede","Mike Holdsworth","person",-2,3
"150","Eliot, George","Adam Bede","Mill","location",2.13793103448276,29
"151","Eliot, George","Adam Bede","Mill A","person",-1,3
"152","Eliot, George","Adam Bede","Miller","person",7.5,2
"153","Eliot, George","Adam Bede","Mills","location",2.46153846153846,13
"154","Eliot, George","Adam Bede","Mills","person",2.46153846153846,13
"155","Eliot, George","Adam Bede","Milton","person",6,1
"156","Eliot, George","Adam Bede","Miss Anne","person",2.75,8
"157","Eliot, George","Adam Bede","Molly","person",2.35483870967742,31
"158","Eliot, George","Adam Bede","Moses","person",7.66666666666667,3
"159","Eliot, George","Adam Bede","Mr Aldophous Irwine","person",1.58787878787879,165
"160","Eliot, George","Adam Bede","Mr Arthur","person",4,6
"161","Eliot, George","Adam Bede","Mr Bartle Massey","person",2.28571428571429,105
"162","Eliot, George","Adam Bede","Mr Casson","person",3.64705882352941,17
"163","Eliot, George","Adam Bede","Mr Chowne","person",2,1
"164","Eliot, George","Adam Bede","Mr Craig","person",2.45161290322581,31
"165","Eliot, George","Adam Bede","Mr Donnithorne","person",2.15384615384615,13
"166","Eliot, George","Adam Bede","Mr Gawaine","person",3.25,4
"167","Eliot, George","Adam Bede","Mr James","person",1,1
