"","author","title","words","kind","total","appearance"
"1","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Aber","location",16,1
"2","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Abraham Dixon","person",0.666666666666667,3
"3","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Adam","person",8,3
"4","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Alice","person",-5,2
"5","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","America","location",-0.6,5
"6","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Amy","person",-6,1
"7","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ann","person",3.70886075949367,79
"8","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Aunt","person",0.111111111111111,9
"9","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Banks","person",0,1
"10","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Beauchamp","person",22.6666666666667,3
"11","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Bel","person",2.90740740740741,54
"12","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ben","person",11.2222222222222,18
"13","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Bessy","person",7,1
"14","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Betty","person",0,1
"15","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Betty Palmer","person",0,1
"16","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Bill","person",3,2
"17","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Botany Bay","location",0,2
"18","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Bread","person",30,1
"19","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Bromham","location",0.333333333333333,3
"20","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Brown","person",9.25,8
"21","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Cambridge","location",1,2
"22","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Canal","location",0,1
"23","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Canon Livingstone","person",5.125,16
"24","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Canon Wilson","person",2,1
"25","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Chase","person",2.66666666666667,3
"26","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Chester","location",3.16666666666667,24
"27","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Corbet","person",2.92592592592593,108
"28","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Dear","person",4.12244897959184,49
"29","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Death","location",0.0540540540540541,37
"30","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Dixon","location",2.49038461538462,104
"31","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Dixon","person",2.49038461538462,104
"32","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Dolly","person",5,1
"33","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Don","person",1.48101265822785,79
"34","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Donald","person",-5,2
"35","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Donne","location",2,1
"36","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Dr Moore","person",-2.33333333333333,3
"37","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Duncombe","person",-5,1
"38","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","earth","location",3.4,5
"39","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Earth","location",3.4,5
"40","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","East Chester","location",3.16666666666667,24
"41","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Eden","person",2,1
"42","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Edward","person",8.05555555555556,18
"43","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Edward Wilkins","person",31.5,2
"44","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Elizabeth","location",0,1
"45","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Elizabeth","person",0,1
"46","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Elizabeth Gaskell","person",0,1
"47","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ellinor","location",2.72530120481928,415
"48","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ellinor","person",2.72530120481928,415
"49","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","England","location",-2.125,8
"50","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Extravagance","person",-0.25,4
"51","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Faith","person",3.85714285714286,7
"52","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Fields","person",-8,2
"53","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ford Bank","location",3.93333333333333,30
"54","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Frank","person",12.3125,16
"55","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Frank Holster","person",21.3333333333333,6
"56","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Gal","person",5.6,20
"57","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Gardener","location",0.333333333333333,3
"58","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","George","person",3,1
"59","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","God","location",5.51851851851852,27
"60","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Gray","person",8,1
"61","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hall","person",2.31578947368421,38
"62","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hamley","location",3.98275862068966,58
"63","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hanbury","location",16,1
"64","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hanbury","person",16,1
"65","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hellingford","location",3.91666666666667,12
"66","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hellingford Castle","location",0,1
"67","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Henry","person",0,2
"68","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Henry Croper","person",2,1
"69","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Herbert Livingstone","person",2,2
"70","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Holster","location",16.9285714285714,14
"71","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hope","location",8.51515151515152,33
"72","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Household","person",14,11
"73","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Howe","person",3.90909090909091,22
"74","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hush","person",5.5,6
"75","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hyde Park","location",-0.25,4
"76","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Hyde Park Gardens","location",-0.25,4
"77","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Impetuous","person",0,1
"78","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ireland","location",-7,1
"79","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Jack","person",-1,3
"80","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","James","person",12.5,2
"81","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Jenkins","person",-2,1
"82","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Job","location",0,1
"83","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Job","person",0,1
"84","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","John","person",3.34285714285714,35
"85","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Johnson","person",3.34285714285714,35
"86","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Johnsons","person",11.25,4
"87","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Jones","person",16,1
"88","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","King","person",1.58285714285714,175
"89","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Ladies","person",9.1875,16
"90","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lamotte","person",26.6666666666667,3
"91","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Latin","location",3,1
"92","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lent","person",3.64516129032258,31
"93","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lettice","person",12.375,8
"94","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Light","location",5.53846153846154,52
"95","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lionel Playfair","person",24,1
"96","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Liverpool","location",0,1
"97","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","London","location",6.25,16
"98","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lord","person",6.75,12
"99","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lord Bolton","person",12.6666666666667,3
"100","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lord Chancellor","person",2,1
"101","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Lord Hildebrand","person",0,1
"102","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Loy","person",1.64705882352941,17
"103","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Maria","person",3.8,5
"104","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Maria Brabant","person",10,1
"105","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mark","person",4.57142857142857,21
"106","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mark Holster","person",77,1
"107","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mark Lamotte","person",-5,1
"108","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mary","location",5,1
"109","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mary","person",5,1
"110","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Mason","location",-9.33333333333333,3
"111","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Memo","person",0.444444444444444,9
"112","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Middle Temple","location",10,1
"113","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Miss","location",3.85308056872038,211
"114","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Miss","person",3.85308056872038,211
"115","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Miss Monro","person",3.83333333333333,144
"116","Gaskell, Elizabeth Cleghorn","A Dark Night's Work","Miss Wilkins","person",7.29166666666667,24
